                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.38102,                 2.6576,                0.96744,                 0.5747,                0.57594,                0.62969,                0.60623,                0.25385,                 1.5258,                0.81382,             0.00023652,             0.00023652,             0.00023652
                      2,                0.35679,                 1.5121,                0.94497,                0.75214,                0.43962,                0.60585,                0.56092,                0.35839,                 2.1002,                 0.9242,             0.00046982,             0.00046982,             0.00046982
                      3,                 0.3757,                 1.3618,                0.95205,                 0.5651,                0.55336,                0.56089,                0.49675,                0.63323,                 2.0282,                 1.1938,             0.00069841,             0.00069841,             0.00069841
                      4,                0.36517,                 1.2539,                0.94428,                0.72837,                0.69684,                0.78066,                0.73302,                0.32787,                0.96754,                 0.8898,             0.00069279,             0.00069279,             0.00069279
                      5,                0.34505,                 1.1506,                0.93448,                0.71787,                0.51601,                0.58429,                0.53961,                0.37149,                 2.0638,                0.89876,             0.00069279,             0.00069279,             0.00069279
                      6,                0.33527,                   1.07,                0.93321,                 0.9098,                0.87966,                0.96025,                0.93386,                0.26301,                0.51431,                0.84929,             0.00068573,             0.00068573,             0.00068573
                      7,                0.31722,                 1.0047,                0.92546,                0.90552,                 0.8284,                0.92873,                0.91521,                0.24452,                0.55469,                0.80826,             0.00067866,             0.00067866,             0.00067866
                      8,                0.31696,                0.96695,                0.92091,                0.90277,                0.88128,                0.94992,                0.94055,                0.22807,                0.44098,                0.79611,             0.00067159,             0.00067159,             0.00067159
                      9,                0.30771,                0.90203,                 0.9158,                0.82378,                 0.8821,                0.92956,                0.92067,                0.20587,                0.62923,                0.76392,             0.00066452,             0.00066452,             0.00066452
                     10,                0.29791,                 0.8645,                0.91233,                0.90963,                0.87529,                0.96112,                 0.9427,                0.22855,                0.47229,                0.79615,             0.00065745,             0.00065745,             0.00065745
                     11,                0.29773,                 0.8044,                0.90669,                0.88817,                0.93586,                0.96657,                0.95724,                0.22282,                0.43114,                0.79583,             0.00065038,             0.00065038,             0.00065038
                     12,                 0.2967,                0.79735,                0.91132,                0.95736,                0.95472,                0.97797,                0.96351,                0.19992,                0.32367,                 0.7738,             0.00064331,             0.00064331,             0.00064331
                     13,                0.27936,                0.75549,                0.90418,                0.97569,                0.96004,                0.98501,                0.97645,                 0.2133,                0.33253,                0.78128,             0.00063625,             0.00063625,             0.00063625
